"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
2.154340536E2,6.504330834E1,2.545011135E1,2.257580394E1,1.559999943E0,3.395000000E2,3.790092468E0,2.500000000E0
2.164341652E2,6.504332322E1,2.545010225E1,2.205107792E1,1.570000052E0,3.411000061E2,3.790092468E0,2.500000000E0
2.174341181E2,6.504333766E1,2.545009108E1,2.209147639E1,1.580000043E0,3.423999939E2,3.790092468E0,2.500000000E0
2.184346363E2,6.504335188E1,2.545008283E1,2.194480247E1,1.539999962E0,3.458999939E2,3.790092468E0,2.500000000E0
2.194337627E2,6.504336736E1,2.545007011E1,2.191494890E1,1.659999967E0,3.408999939E2,3.790092468E0,2.500000000E0
2.204345038E2,6.504338135E1,2.545005743E1,2.226662670E1,1.600000024E0,3.385000000E2,3.790092468E0,2.500000000E0
2.214341298E2,6.504339506E1,2.545004660E1,2.249373203E1,1.610000014E0,3.417000122E2,3.790092468E0,2.500000000E0
2.224340243E2,6.504340913E1,2.545003392E1,2.209632531E1,1.590000033E0,3.417000122E2,3.790092468E0,2.500000000E0
2.234344943E2,6.504342314E1,2.545002411E1,2.198572310E1,1.590000033E0,3.422999878E2,3.790092468E0,2.500000000E0
2.244337597E2,6.504343590E1,2.545001176E1,2.217553618E1,1.549999952E0,3.397000122E2,3.790092468E0,2.500000000E0
2.254339421E2,6.504344948E1,2.544999888E1,2.231749732E1,1.620000005E0,3.405000000E2,3.790092468E0,2.500000000E0
2.264339786E2,6.504346234E1,2.544999027E1,2.256645379E1,1.509999990E0,3.437999878E2,3.790092468E0,2.500000000E0
2.274336715E2,6.504347584E1,2.544998053E1,2.261838840E1,1.570000052E0,3.422000122E2,3.790092468E0,2.500000000E0
2.284336555E2,6.504348816E1,2.544997104E1,2.271500125E1,1.509999990E0,3.402000122E2,3.790092468E0,2.500000000E0
2.294345381E2,6.504350030E1,2.544995795E1,2.265170171E1,1.519999981E0,3.383999939E2,3.790092468E0,2.500000000E0
2.304338176E2,6.504351365E1,2.544994514E1,2.287642661E1,1.559999943E0,3.437999878E2,3.790092468E0,2.500000000E0
2.314337460E2,6.504352713E1,2.544993348E1,2.293232834E1,1.559999943E0,3.436000061E2,3.790092468E0,2.500000000E0
2.324337871E2,6.504354074E1,2.544992183E1,2.299579837E1,1.580000043E0,3.416000061E2,3.790092468E0,2.500000000E0
2.334337402E2,6.504355365E1,2.544991058E1,2.298614860E1,1.549999952E0,3.433999939E2,3.790092468E0,2.500000000E0
2.344344889E2,6.504356615E1,2.544990252E1,2.328893827E1,1.480000019E0,3.442000122E2,3.790092468E0,2.500000000E0
2.354346451E2,6.504358002E1,2.544989581E1,2.318498925E1,1.519999981E0,3.440000000E2,3.790092468E0,2.500000000E0
2.364341778E2,6.504359438E1,2.544988822E1,2.297416738E1,1.559999943E0,3.437999878E2,3.790092468E0,2.500000000E0
2.374342844E2,6.504360795E1,2.544988365E1,2.268906634E1,1.500000000E0,3.457999878E2,3.790092468E0,2.500000000E0
2.384341807E2,6.504362230E1,2.544987461E1,2.277695040E1,1.590000033E0,3.427999878E2,3.790092468E0,2.500000000E0
2.394342515E2,6.504363564E1,2.544986384E1,2.281252755E1,1.590000033E0,3.400000000E2,3.790092468E0,2.500000000E0
2.404346195E2,6.504364987E1,2.544985263E1,2.279530890E1,1.610000014E0,3.417999878E2,3.790092468E0,2.500000000E0
2.414337248E2,6.504366457E1,2.544983994E1,2.295063631E1,1.600000024E0,3.397000122E2,3.790092468E0,2.500000000E0
2.424339166E2,6.504367914E1,2.544982855E1,2.272669144E1,1.590000033E0,3.430000000E2,3.790092468E0,2.500000000E0
2.434340656E2,6.504369349E1,2.544981880E1,2.277667259E1,1.600000024E0,3.411000061E2,3.790092468E0,2.500000000E0
2.444343562E2,6.504370805E1,2.544980834E1,2.249260818E1,1.659999967E0,3.407000122E2,3.790092468E0,2.500000000E0
2.454344871E2,6.504372225E1,2.544979841E1,2.232426662E1,1.610000014E0,3.398999939E2,3.790092468E0,2.500000000E0
2.464336680E2,6.504373670E1,2.544979003E1,2.215366681E1,1.600000024E0,3.427000122E2,3.790092468E0,2.500000000E0
2.474345639E2,6.504375043E1,2.544978244E1,2.226517185E1,1.519999981E0,3.427000122E2,3.790092468E0,2.500000000E0
2.484345234E2,6.504376611E1,2.544977376E1,2.228762572E1,1.639999986E0,3.422000122E2,3.790092468E0,2.500000000E0
2.494345253E2,6.504378136E1,2.544976331E1,2.199159815E1,1.669999957E0,3.422000122E2,3.790092468E0,2.500000000E0
2.504345070E2,6.504379635E1,2.544975304E1,2.210786317E1,1.669999957E0,3.432999878E2,3.790092468E0,2.500000000E0
2.514345049E2,6.504381112E1,2.544974028E1,2.169605187E1,1.659999967E0,3.413999939E2,3.790092468E0,2.500000000E0
2.524345769E2,6.504382523E1,2.544972718E1,2.147973640E1,1.679999948E0,3.423999939E2,3.790092468E0,2.500000000E0
2.534343897E2,6.504384025E1,2.544971520E1,2.151317654E1,1.639999986E0,3.422000122E2,3.790092468E0,2.500000000E0
2.544342397E2,6.504385456E1,2.544970296E1,2.142833080E1,1.639999986E0,3.420000000E2,3.790092468E0,2.500000000E0
2.554339669E2,6.504386944E1,2.544968682E1,2.099979549E1,1.730000019E0,3.382999878E2,3.790092468E0,2.500000000E0
2.564342675E2,6.504388329E1,2.544967709E1,2.093142967E1,1.690000057E0,3.432000122E2,3.790092468E0,2.500000000E0
2.574341524E2,6.504389659E1,2.544966729E1,2.118453623E1,1.669999957E0,3.416000061E2,3.790092468E0,2.500000000E0
2.584344631E2,6.504391109E1,2.544965725E1,2.126033517E1,1.700000048E0,3.415000000E2,3.790092468E0,2.500000000E0
2.594338196E2,6.504392455E1,2.544964708E1,2.122920090E1,1.649999976E0,3.422000122E2,3.790092468E0,2.500000000E0
2.604346091E2,6.504393754E1,2.544963525E1,2.134021754E1,1.590000033E0,3.436000061E2,3.790092468E0,2.500000000E0
2.614339517E2,6.504395141E1,2.544962180E1,2.136657791E1,1.690000057E0,3.437999878E2,3.790092468E0,2.500000000E0
2.624342232E2,6.504396634E1,2.544960673E1,2.127208810E1,1.759999990E0,3.432000122E2,3.790092468E0,2.500000000E0
2.634341008E2,6.504398025E1,2.544958946E1,2.126475667E1,1.759999990E0,3.421000061E2,3.790092468E0,2.500000000E0
2.644341925E2,6.504399340E1,2.544957459E1,2.158249903E1,1.649999976E0,3.416000061E2,3.790092468E0,2.500000000E0
2.654342089E2,6.504400693E1,2.544956173E1,2.177475315E1,1.649999976E0,3.420000000E2,3.790092468E0,2.500000000E0
2.664345225E2,6.504401973E1,2.544954963E1,2.161184405E1,1.629999995E0,3.392999878E2,3.790092468E0,2.500000000E0
2.674338024E2,6.504403320E1,2.544954154E1,2.159932571E1,1.620000005E0,3.468999939E2,3.790092468E0,2.500000000E0
2.684341194E2,6.504404675E1,2.544952967E1,2.176588411E1,1.700000048E0,3.406000061E2,3.790092468E0,2.500000000E0
2.694344699E2,6.504406077E1,2.544951896E1,2.159497907E1,1.730000019E0,3.422999878E2,3.790092468E0,2.500000000E0
2.704346092E2,6.504407519E1,2.544950649E1,2.151416158E1,1.799999952E0,3.397999878E2,3.790092468E0,2.500000000E0
2.714346519E2,6.504408926E1,2.544949778E1,2.130517077E1,1.649999976E0,3.428999939E2,3.790092468E0,2.500000000E0
2.724337439E2,6.504410294E1,2.544948595E1,2.131364807E1,1.659999967E0,3.400000000E2,3.790092468E0,2.500000000E0
2.734345555E2,6.504411743E1,2.544947451E1,2.106956161E1,1.730000019E0,3.390000000E2,3.790092468E0,2.500000000E0
2.744344020E2,6.504413221E1,2.544946180E1,2.091489141E1,1.779999971E0,3.393999939E2,3.790092468E0,2.500000000E0
2.754339497E2,6.504414658E1,2.544944963E1,2.076919360E1,1.779999971E0,3.382999878E2,3.790092468E0,2.500000000E0
2.764338432E2,6.504416126E1,2.544943744E1,2.083882770E1,1.720000029E0,3.392999878E2,3.790092468E0,2.500000000E0
2.774343211E2,6.504417599E1,2.544942587E1,2.046339347E1,1.720000029E0,3.421000061E2,3.790092468E0,2.500000000E0
2.784337584E2,6.504419134E1,2.544941445E1,2.045954105E1,1.799999952E0,3.407999878E2,3.790092468E0,2.500000000E0
2.794340676E2,6.504420605E1,2.544940382E1,2.016204882E1,1.690000057E0,3.432999878E2,3.790092468E0,2.500000000E0
2.804342855E2,6.504421982E1,2.544939259E1,1.971477663E1,1.600000024E0,3.437999878E2,3.790092468E0,2.500000000E0
2.814344821E2,6.504423290E1,2.544938063E1,1.933555884E1,1.529999971E0,3.435000000E2,3.790092468E0,2.500000000E0
2.824338612E2,6.504424627E1,2.544936514E1,1.894926051E1,1.639999986E0,3.350000000E2,3.790092468E0,2.500000000E0
2.834342773E2,6.504425966E1,2.544935485E1,1.877798954E1,1.580000043E0,3.410000000E2,3.790092468E0,2.500000000E0
2.844346073E2,6.504427317E1,2.544934837E1,1.870236098E1,1.580000043E0,3.457999878E2,3.790092468E0,2.500000000E0
2.854337550E2,6.504428558E1,2.544934168E1,1.875844671E1,1.539999962E0,3.466000061E2,3.790092468E0,2.500000000E0
2.864340330E2,6.504429891E1,2.544933546E1,1.889406092E1,1.590000033E0,3.470000000E2,3.790092468E0,2.500000000E0
2.874338981E2,6.504431150E1,2.544933126E1,1.892646518E1,1.549999952E0,3.478999939E2,3.790092468E0,2.500000000E0
2.884341221E2,6.504432380E1,2.544932497E1,1.873480929E1,1.529999971E0,3.390000000E2,3.790092468E0,2.500000000E0
2.894341497E2,6.504433641E1,2.544931899E1,1.880450584E1,1.529999971E0,3.427999878E2,3.790092468E0,2.500000000E0
2.904338053E2,6.504435044E1,2.544931277E1,1.877184586E1,1.590000033E0,3.417999878E2,3.790092468E0,2.500000000E0
2.914346181E2,6.504436326E1,2.544930404E1,1.880516510E1,1.559999943E0,3.397000122E2,3.790092468E0,2.500000000E0
2.924339722E2,6.504437673E1,2.544929294E1,1.887699705E1,1.539999962E0,3.380000000E2,3.790092468E0,2.500000000E0
2.934337537E2,6.504439003E1,2.544928152E1,1.898294768E1,1.610000014E0,3.382000122E2,3.790092468E0,2.500000000E0
2.944340005E2,6.504440415E1,2.544927329E1,1.905282652E1,1.600000024E0,3.426000061E2,3.790092468E0,2.500000000E0
2.954337719E2,6.504441725E1,2.544926383E1,1.903469295E1,1.600000024E0,3.421000061E2,3.790092468E0,2.500000000E0
2.964338135E2,6.504443085E1,2.544925449E1,1.876546056E1,1.629999995E0,3.427999878E2,3.790092468E0,2.500000000E0
2.974340044E2,6.504444508E1,2.544924750E1,1.839997571E1,1.649999976E0,3.437999878E2,3.790092468E0,2.500000000E0
2.984339541E2,6.504445811E1,2.544923744E1,1.831488654E1,1.649999976E0,3.427999878E2,3.790092468E0,2.500000000E0
2.994340855E2,6.504447128E1,2.544922952E1,1.813732926E1,1.600000024E0,3.441000061E2,3.790092468E0,2.500000000E0
3.004338756E2,6.504448498E1,2.544921942E1,1.801171248E1,1.620000005E0,3.442999878E2,3.790092468E0,2.500000000E0
3.014339035E2,6.504449832E1,2.544920531E1,1.779710619E1,1.629999995E0,3.392999878E2,3.790092468E0,2.500000000E0
3.024343409E2,6.504451233E1,2.544919462E1,1.783701657E1,1.620000005E0,3.448999939E2,3.790092468E0,2.500000000E0
3.034343669E2,6.504452605E1,2.544918522E1,1.807321625E1,1.639999986E0,3.447999878E2,3.790092468E0,2.500000000E0
3.044338852E2,6.504454024E1,2.544917304E1,1.821706928E1,1.580000043E0,3.428999939E2,3.790092468E0,2.500000000E0
3.054340046E2,6.504455503E1,2.544916113E1,1.791786790E1,1.600000024E0,3.427999878E2,3.790092468E0,2.500000000E0
3.064340280E2,6.504456904E1,2.544914805E1,1.774500949E1,1.669999957E0,3.432999878E2,3.790092468E0,2.500000000E0
3.074337354E2,6.504458322E1,2.544913459E1,1.755628184E1,1.600000024E0,3.408999939E2,3.790092468E0,2.500000000E0
3.084337821E2,6.504459778E1,2.544912421E1,1.737707582E1,1.649999976E0,3.443999939E2,3.790092468E0,2.500000000E0
3.094337773E2,6.504461165E1,2.544911290E1,1.734404918E1,1.659999967E0,3.400000000E2,3.790092468E0,2.500000000E0
3.104338427E2,6.504462530E1,2.544910808E1,1.712511018E1,1.620000005E0,3.478999939E2,3.790092468E0,2.500000000E0
3.114341873E2,6.504463856E1,2.544909957E1,1.702146638E1,1.669999957E0,3.447000122E2,3.790092468E0,2.500000000E0
3.124338983E2,6.504465158E1,2.544908684E1,1.688370361E1,1.679999948E0,3.423999939E2,3.790092468E0,2.500000000E0
3.134342261E2,6.504466491E1,2.544907558E1,1.674703949E1,1.629999995E0,3.428999939E2,3.790092468E0,2.500000000E0
3.144340994E2,6.504467911E1,2.544906600E1,1.671926191E1,1.629999995E0,3.446000061E2,3.790092468E0,2.500000000E0
3.154336627E2,6.504469295E1,2.544905233E1,1.707289277E1,1.610000014E0,3.436000061E2,3.790092468E0,2.500000000E0
3.164337611E2,6.504470665E1,2.544904084E1,1.696845504E1,1.669999957E0,3.425000000E2,3.790092468E0,2.500000000E0
3.174345473E2,6.504472042E1,2.544902786E1,1.770227398E1,1.620000005E0,3.416000061E2,3.790092468E0,2.500000000E0
3.184339146E2,6.504473562E1,2.544901641E1,1.785540402E1,1.590000033E0,3.436000061E2,3.790092468E0,2.500000000E0
3.194340350E2,6.504475004E1,2.544900520E1,1.784068772E1,1.580000043E0,3.423999939E2,3.790092468E0,2.500000000E0
3.204338619E2,6.504476440E1,2.544899734E1,1.763694589E1,1.600000024E0,3.430000000E2,3.790092468E0,2.500000000E0
3.214343169E2,6.504477922E1,2.544898987E1,1.817380450E1,1.559999943E0,3.458999939E2,3.790092468E0,2.500000000E0
3.224338031E2,6.504479320E1,2.544897922E1,1.809988432E1,1.539999962E0,3.426000061E2,3.790092468E0,2.500000000E0
3.234342945E2,6.504480709E1,2.544896700E1,1.820821501E1,1.539999962E0,3.418999939E2,3.790092468E0,2.500000000E0
3.244343672E2,6.504482123E1,2.544895698E1,1.803700479E1,1.539999962E0,3.433999939E2,3.790092468E0,2.500000000E0
3.254342200E2,6.504483545E1,2.544894514E1,1.808802336E1,1.590000033E0,3.422999878E2,3.790092468E0,2.500000000E0
3.264340951E2,6.504484972E1,2.544893431E1,1.833417141E1,1.590000033E0,3.412000122E2,3.790092468E0,2.500000000E0
3.274339835E2,6.504486412E1,2.544892774E1,1.827642579E1,1.580000043E0,3.452000122E2,3.790092468E0,2.500000000E0
3.284340125E2,6.504487747E1,2.544891724E1,1.821068459E1,1.600000024E0,3.415000000E2,3.790092468E0,2.500000000E0
3.294341977E2,6.504488916E1,2.544890768E1,1.844371123E1,1.519999981E0,3.397999878E2,3.790092468E0,2.500000000E0
3.304343788E2,6.504490252E1,2.544889900E1,1.872342918E1,1.500000000E0,3.420000000E2,3.790092468E0,2.500000000E0
3.314345282E2,6.504491536E1,2.544889260E1,1.839859435E1,1.570000052E0,3.416000061E2,3.790092468E0,2.500000000E0
3.324344618E2,6.504492766E1,2.544888633E1,1.823580808E1,1.519999981E0,3.438999939E2,3.790092468E0,2.500000000E0
3.334341801E2,6.504493849E1,2.544888054E1,1.786605223E1,1.470000029E0,3.408999939E2,3.790092468E0,2.500000000E0
3.344345338E2,6.504494997E1,2.544887174E1,1.767451848E1,1.519999981E0,3.397999878E2,3.790092468E0,2.500000000E0
3.354339257E2,6.504496376E1,2.544886367E1,1.770258838E1,1.549999952E0,3.412000122E2,3.790092468E0,2.500000000E0
3.364341696E2,6.504497752E1,2.544885428E1,1.721594868E1,1.529999971E0,3.412000122E2,3.790092468E0,2.500000000E0
3.374337567E2,6.504499029E1,2.544884419E1,1.693853783E1,1.539999962E0,3.415000000E2,3.790092468E0,2.500000000E0
3.384338414E2,6.504500405E1,2.544883128E1,1.748363607E1,1.539999962E0,3.415000000E2,3.790092468E0,2.500000000E0
3.394343355E2,6.504501706E1,2.544882100E1,1.755241650E1,1.490000010E0,3.406000061E2,3.790092468E0,2.500000000E0
3.404344557E2,6.504503052E1,2.544880712E1,1.738480725E1,1.559999943E0,3.392999878E2,3.790092468E0,2.500000000E0
3.414342478E2,6.504504434E1,2.544880182E1,1.713382467E1,1.450000048E0,3.458999939E2,3.790092468E0,2.500000000E0
3.424336518E2,6.504505838E1,2.544879271E1,1.717263655E1,1.509999990E0,3.415000000E2,3.790092468E0,2.500000000E0
3.434340596E2,6.504507187E1,2.544878489E1,1.693367778E1,1.440000057E0,3.442000122E2,3.790092468E0,2.500000000E0
3.444344139E2,6.504508491E1,2.544877544E1,1.687007303E1,1.639999986E0,3.383999939E2,3.790092468E0,2.500000000E0
3.454344297E2,6.504509856E1,2.544876455E1,1.691437806E1,1.610000014E0,3.392000122E2,3.790092468E0,2.500000000E0
3.464337656E2,6.504511186E1,2.544875769E1,1.701849807E1,1.490000010E0,3.428999939E2,3.790092468E0,2.500000000E0
3.474341846E2,6.504512435E1,2.544874743E1,1.695428311E1,1.500000000E0,3.405000000E2,3.790092468E0,2.500000000E0
3.484344199E2,6.504513810E1,2.544874133E1,1.720787811E1,1.570000052E0,3.495000000E2,3.790092468E0,2.500000000E0
3.494340809E2,6.504515171E1,2.544873015E1,1.714183156E1,1.629999995E0,3.418999939E2,3.790092468E0,2.500000000E0
3.504344526E2,6.504516505E1,2.544872046E1,1.710203038E1,1.580000043E0,3.461000061E2,3.790092468E0,2.500000000E0
3.514342329E2,6.504517908E1,2.544871861E1,1.702212960E1,1.600000024E0,3.571000061E2,3.790092468E0,2.500000000E0
3.524345582E2,6.504519387E1,2.544872705E1,1.682681205E1,1.610000014E0,1.319999981E1,3.790092468E0,2.500000000E0
3.534346076E2,6.504520709E1,2.544875049E1,1.669411867E1,1.649999976E0,3.959999847E1,3.790092468E0,2.500000000E0
3.544345472E2,6.504521848E1,2.544877545E1,1.670656777E1,1.610000014E0,4.429999924E1,3.790092468E0,2.500000000E0
3.554336933E2,6.504522789E1,2.544880548E1,1.643349570E1,1.620000005E0,5.750000000E1,3.790092468E0,2.500000000E0
3.564344678E2,6.504523681E1,2.544883277E1,1.657485226E1,1.590000033E0,5.590000153E1,3.790092468E0,2.500000000E0
3.574338364E2,6.504524568E1,2.544886515E1,1.681948083E1,1.629999995E0,5.679999924E1,3.790092468E0,2.500000000E0
3.584340480E2,6.504525192E1,2.544890092E1,1.671718696E1,1.620000005E0,6.750000000E1,3.790092468E0,2.500000000E0
3.594340575E2,6.504525702E1,2.544893678E1,1.677273046E1,1.600000024E0,7.009999847E1,3.790092468E0,2.500000000E0
3.604345830E2,6.504526307E1,2.544897204E1,1.660262655E1,1.570000052E0,6.900000000E1,3.790092468E0,2.500000000E0
3.614346654E2,6.504526884E1,2.544900538E1,1.637850644E1,1.590000033E0,7.050000000E1,3.790092468E0,2.500000000E0
3.624342349E2,6.504527525E1,2.544903545E1,1.601022073E1,1.519999981E0,6.840000153E1,3.790092468E0,2.500000000E0
3.634339307E2,6.504528025E1,2.544906876E1,1.562704331E1,1.519999981E0,7.180000305E1,3.790092468E0,2.500000000E0
3.644344292E2,6.504528655E1,2.544910219E1,1.552792301E1,1.529999971E0,6.769999695E1,3.790092468E0,2.500000000E0
3.654341177E2,6.504529252E1,2.544913686E1,1.496591234E1,1.590000033E0,7.130000305E1,3.790092468E0,2.500000000E0
3.664338022E2,6.504530038E1,2.544916827E1,1.445455977E1,1.620000005E0,6.309999847E1,3.790092468E0,2.500000000E0
3.674340502E2,6.504530523E1,2.544920362E1,1.468795977E1,1.620000005E0,7.130000305E1,3.790092468E0,2.500000000E0
3.684340507E2,6.504531052E1,2.544923945E1,1.425601540E1,1.690000057E0,6.680000305E1,3.790092468E0,2.500000000E0
3.694337313E2,6.504531705E1,2.544927959E1,1.404105094E1,1.850000024E0,6.700000000E1,3.790092468E0,2.500000000E0
3.704338347E2,6.504532312E1,2.544931920E1,1.405478535E1,1.779999971E0,7.290000153E1,3.790092468E0,2.500000000E0
3.714343330E2,6.504533048E1,2.544935715E1,1.380271097E1,1.710000038E0,6.869999695E1,3.790092468E0,2.500000000E0
3.724337980E2,6.504533741E1,2.544939662E1,1.370499483E1,1.740000010E0,7.040000153E1,3.790092468E0,2.500000000E0
3.734338804E2,6.504534434E1,2.544943551E1,1.397684650E1,1.850000024E0,6.819999695E1,3.790092468E0,2.500000000E0
3.744338518E2,6.504535198E1,2.544947452E1,1.374253335E1,1.899999976E0,6.519999695E1,3.790092468E0,2.500000000E0
3.754338354E2,6.504535875E1,2.544951527E1,1.344755177E1,1.870000005E0,6.709999847E1,3.790092468E0,2.500000000E0
3.764337626E2,6.504536497E1,2.544955647E1,1.365049526E1,1.919999957E0,6.990000153E1,3.790092468E0,2.500000000E0
3.774343342E2,6.504537253E1,2.544959354E1,1.417790070E1,1.799999952E0,6.290000153E1,3.790092468E0,2.500000000E0
3.784343314E2,6.504537752E1,2.544963588E1,1.349894782E1,1.840000033E0,7.419999695E1,3.790092468E0,2.500000000E0
3.794338923E2,6.504538258E1,2.544967478E1,1.319346869E1,1.789999962E0,6.850000000E1,3.790092468E0,2.500000000E0
3.804344681E2,6.504538983E1,2.544971340E1,1.317717324E1,1.929999948E0,6.370000076E1,3.790092468E0,2.500000000E0
3.814346245E2,6.504539591E1,2.544975171E1,1.289067558E1,1.909999967E0,6.569999695E1,3.790092468E0,2.500000000E0
3.824338815E2,6.504540119E1,2.544979238E1,1.319823365E1,1.990000010E0,6.740000153E1,3.790092468E0,2.500000000E0
3.834337290E2,6.504540736E1,2.544983567E1,1.281902405E1,1.919999957E0,6.730000305E1,3.790092468E0,2.500000000E0
3.844338436E2,6.504541238E1,2.544987605E1,1.244085222E1,1.909999967E0,6.990000153E1,3.790092468E0,2.500000000E0
3.854337516E2,6.504541687E1,2.544991609E1,1.211181386E1,1.980000019E0,6.709999847E1,3.790092468E0,2.500000000E0
3.864342148E2,6.504542170E1,2.544995504E1,1.148046813E1,1.919999957E0,7.009999847E1,3.790092468E0,2.500000000E0
3.874341732E2,6.504542794E1,2.544999604E1,1.094909763E1,1.899999976E0,6.669999695E1,3.790092468E0,2.500000000E0
3.884342361E2,6.504543400E1,2.545003772E1,1.079516868E1,1.950000048E0,6.719999695E1,3.790092468E0,2.500000000E0
3.894343080E2,6.504543976E1,2.545007928E1,1.064593954E1,2.029999971E0,6.650000000E1,3.790092468E0,2.500000000E0
3.904342928E2,6.504544586E1,2.545011965E1,1.036310419E1,1.990000010E0,6.800000000E1,3.790092468E0,2.500000000E0
3.914341301E2,6.504545129E1,2.545016122E1,1.006635322E1,2.000000000E0,6.759999847E1,3.790092468E0,2.500000000E0
3.924343921E2,6.504545598E1,2.545020109E1,9.914743965E0,2.000000000E0,6.659999847E1,3.790092468E0,2.500000000E0
3.934336950E2,6.504546128E1,2.545023813E1,1.009040470E1,1.980000019E0,6.400000000E1,3.790092468E0,2.500000000E0
3.944345495E2,6.504546670E1,2.545027821E1,9.823804947E0,1.970000029E0,6.750000000E1,3.790092468E0,2.500000000E0
3.954338315E2,6.504547299E1,2.545031641E1,9.964858472E0,1.950000048E0,6.780000305E1,3.790092468E0,2.500000000E0
3.964339485E2,6.504548018E1,2.545035667E1,1.017457639E1,1.940000057E0,6.669999695E1,3.790092468E0,2.500000000E0
3.974340980E2,6.504548676E1,2.545039518E1,1.046565425E1,1.929999948E0,6.809999847E1,3.790092468E0,2.500000000E0
3.984340328E2,6.504549299E1,2.545043261E1,1.056093136E1,1.899999976E0,6.550000000E1,3.790092468E0,2.500000000E0
3.994343402E2,6.504549869E1,2.545047045E1,1.013930198E1,1.850000024E0,6.840000153E1,3.790092468E0,2.500000000E0
4.004345330E2,6.504550475E1,2.545050788E1,1.042201812E1,1.980000019E0,6.390000153E1,3.790092468E0,2.500000000E0
4.014342383E2,6.504550989E1,2.545054846E1,1.068227399E1,1.929999948E0,6.759999847E1,3.790092468E0,2.500000000E0
4.024336520E2,6.504551560E1,2.545058319E1,1.080288063E1,1.850000024E0,6.350000000E1,3.790092468E0,2.500000000E0
4.034345214E2,6.504552232E1,2.545061945E1,1.065658028E1,1.879999995E0,6.370000076E1,3.790092468E0,2.500000000E0
4.044338134E2,6.504552869E1,2.545065534E1,1.003463306E1,1.860000014E0,6.680000305E1,3.790092468E0,2.500000000E0
4.054344552E2,6.504553696E1,2.545069154E1,1.008449909E1,1.879999995E0,6.480000305E1,3.790092468E0,2.500000000E0
4.064339518E2,6.504554432E1,2.545072734E1,1.020882832E1,1.840000033E0,6.830000305E1,3.790092468E0,2.500000000E0
4.074338956E2,6.504555201E1,2.545076518E1,1.012399015E1,1.889999986E0,6.480000305E1,3.790092468E0,2.500000000E0
4.084339412E2,6.504555960E1,2.545080356E1,9.989469452E0,1.940000057E0,6.350000000E1,3.790092468E0,2.500000000E0
4.094344289E2,6.504556654E1,2.545084223E1,1.020461945E1,1.870000005E0,6.659999847E1,3.790092468E0,2.500000000E0
4.104340920E2,6.504557455E1,2.545087935E1,1.026260335E1,1.850000024E0,6.379999924E1,3.790092468E0,2.500000000E0
4.114340300E2,6.504558204E1,2.545091783E1,9.814728210E0,1.879999995E0,6.680000305E1,3.790092468E0,2.500000000E0
4.124338872E2,6.504559075E1,2.545095792E1,9.777741420E0,1.950000048E0,6.509999847E1,3.790092468E0,2.500000000E0
4.134341969E2,6.504559858E1,2.545099632E1,1.002829143E1,1.909999967E0,6.930000305E1,3.790092468E0,2.500000000E0
4.144343222E2,6.504560668E1,2.545103423E1,9.404451643E0,1.889999986E0,6.440000153E1,3.790092468E0,2.500000000E0
4.154344594E2,6.504561411E1,2.545107279E1,9.146517945E0,1.860000014E0,6.959999847E1,3.790092468E0,2.500000000E0
4.164340704E2,6.504562277E1,2.545111014E1,9.088656883E0,1.909999967E0,6.790000153E1,3.790092468E0,2.500000000E0
4.174345043E2,6.504563231E1,2.545114946E1,8.844333266E0,1.960000038E0,6.740000153E1,3.790092468E0,2.500000000E0
4.184340867E2,6.504564172E1,2.545118669E1,8.768466525E0,1.870000005E0,6.580000305E1,3.790092468E0,2.500000000E0
4.194341664E2,6.504565054E1,2.545122714E1,8.645908443E0,1.899999976E0,6.619999695E1,3.790092468E0,2.500000000E0
4.204342222E2,6.504565801E1,2.545127092E1,8.867467435E0,1.970000029E0,7.319999695E1,3.790092468E0,2.500000000E0
4.214343861E2,6.504566681E1,2.545131097E1,8.832006490E0,1.909999967E0,6.630000305E1,3.790092468E0,2.500000000E0
4.224343029E2,6.504567487E1,2.545134869E1,8.623877151E0,1.899999976E0,6.480000305E1,3.790092468E0,2.500000000E0
4.234342942E2,6.504568315E1,2.545138980E1,8.418128431E0,1.940000057E0,6.609999847E1,3.790092468E0,2.500000000E0
4.244342243E2,6.504569039E1,2.545142895E1,8.483742234E0,1.899999976E0,6.750000000E1,3.790092468E0,2.500000000E0
4.254341856E2,6.504569673E1,2.545146844E1,8.312478986E0,1.919999957E0,6.840000153E1,3.790092468E0,2.500000000E0
4.264343063E2,6.504570312E1,2.545150605E1,8.159342974E0,1.799999952E0,6.669999695E1,3.790092468E0,2.500000000E0
4.274343994E2,6.504571072E1,2.545154289E1,8.494792833E0,1.809999943E0,6.700000000E1,3.790092468E0,2.500000000E0
4.284343582E2,6.504571796E1,2.545158005E1,8.709271188E0,1.850000024E0,6.769999695E1,3.790092468E0,2.500000000E0
4.294345102E2,6.504572527E1,2.545161705E1,8.669782214E0,1.850000024E0,6.769999695E1,3.790092468E0,2.500000000E0
4.304337372E2,6.504573306E1,2.545165713E1,8.607893453E0,1.990000010E0,6.630000305E1,3.790092468E0,2.500000000E0
4.314341731E2,6.504574116E1,2.545169298E1,8.665572023E0,1.860000014E0,6.450000000E1,3.790092468E0,2.500000000E0
