"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
4.243390889E1,6.504162449E1,2.545232232E1,2.149019585E1,1.379999995E0,3.131000061E2,3.790092468E0,2.500000000E0
4.343429931E1,6.504163506E1,2.545230173E1,2.109632985E1,1.379999995E0,3.137999878E2,3.790092468E0,2.500000000E0
4.443413316E1,6.504164636E1,2.545228674E1,2.063221263E1,1.230000019E0,3.188999939E2,3.790092468E0,2.500000000E0
4.543404561E1,6.504165631E1,2.545226952E1,2.060913577E1,1.350000024E0,3.121000061E2,3.790092468E0,2.500000000E0
4.643440832E1,6.504166588E1,2.545225080E1,2.014398128E1,1.370000005E0,3.152000122E2,3.790092468E0,2.500000000E0
4.743372483E1,6.504167376E1,2.545222794E1,1.984063126E1,1.399999976E0,3.107000122E2,3.790092468E0,2.500000000E0
4.843402982E1,6.504168292E1,2.545220819E1,1.939183425E1,1.429999948E0,3.125000000E2,3.790092468E0,2.500000000E0
4.943399920E1,6.504169300E1,2.545218843E1,1.941209206E1,1.360000014E0,3.147999878E2,3.790092468E0,2.500000000E0
5.043397993E1,6.504170241E1,2.545216792E1,1.939188375E1,1.360000014E0,3.122999878E2,3.790092468E0,2.500000000E0
5.143419753E1,6.504171081E1,2.545214533E1,1.970614829E1,1.360000014E0,3.112000122E2,3.790092468E0,2.500000000E0
5.243374446E1,6.504171856E1,2.545212678E1,1.936318692E1,1.279999971E0,3.152000122E2,3.790092468E0,2.500000000E0
5.343397951E1,6.504172709E1,2.545210756E1,1.959365046E1,1.370000005E0,3.142999878E2,3.790092468E0,2.500000000E0
5.443422092E1,6.504173615E1,2.545208555E1,1.952760474E1,1.389999986E0,3.130000000E2,3.790092468E0,2.500000000E0
5.543453456E1,6.504174346E1,2.545206719E1,1.918598633E1,1.309999943E0,3.122999878E2,3.790092468E0,2.500000000E0
5.643463675E1,6.504175072E1,2.545205168E1,1.915283990E1,1.149999976E0,3.147999878E2,3.790092468E0,2.500000000E0
5.743397690E1,6.504175693E1,2.545202949E1,1.878753991E1,1.279999971E0,3.027000122E2,3.790092468E0,2.500000000E0
5.843452831E1,6.504176417E1,2.545200827E1,1.818737633E1,1.120000005E0,3.157999878E2,3.790092468E0,2.500000000E0
5.943392571E1,6.504177142E1,2.545198921E1,1.845531598E1,1.179999948E0,3.141000061E2,3.790092468E0,2.500000000E0
6.043389555E1,6.504177925E1,2.545197163E1,1.848387567E1,1.259999990E0,3.155000000E2,3.790092468E0,2.500000000E0
6.143358946E1,6.504178699E1,2.545195447E1,1.856834362E1,1.320000052E0,3.151000061E2,3.790092468E0,2.500000000E0
6.243413826E1,6.504179317E1,2.545193634E1,1.838694297E1,1.210000038E0,3.097999878E2,3.790092468E0,2.500000000E0
6.343278914E1,6.504179914E1,2.545191610E1,1.790207539E1,1.269999981E0,3.098999939E2,3.790092468E0,2.500000000E0
6.443274310E1,6.504180603E1,2.545189780E1,1.780758850E1,1.250000000E0,3.103999939E2,3.790092468E0,2.500000000E0
6.543347664E1,6.504181417E1,2.545187754E1,1.764822055E1,1.340000033E0,3.123999939E2,3.790092468E0,2.500000000E0
6.643276888E1,6.504182265E1,2.545185762E1,1.728798581E1,1.320000052E0,3.111000061E2,3.790092468E0,2.500000000E0
6.743305138E1,6.504183061E1,2.545183693E1,1.716914523E1,1.289999962E0,3.135000000E2,3.790092468E0,2.500000000E0
6.843333482E1,6.504183860E1,2.545181560E1,1.734534853E1,1.220000029E0,3.146000061E2,3.790092468E0,2.500000000E0
6.943340523E1,6.504184785E1,2.545179364E1,1.750360694E1,1.230000019E0,3.146000061E2,3.790092468E0,2.500000000E0
7.043296924E1,6.504185595E1,2.545177225E1,1.770910706E1,1.259999990E0,3.132000122E2,3.790092468E0,2.500000000E0
7.143329987E1,6.504186183E1,2.545174643E1,1.736150706E1,1.240000010E0,3.073999939E2,3.790092468E0,2.500000000E0
7.243307971E1,6.504186752E1,2.545171928E1,1.752556471E1,1.279999971E0,3.071000061E2,3.790092468E0,2.500000000E0
7.343313362E1,6.504187304E1,2.545169691E1,1.768266488E1,1.220000029E0,3.038999939E2,3.790092468E0,2.500000000E0
7.443260341E1,6.504188074E1,2.545167300E1,1.773301355E1,1.259999990E0,3.102000122E2,3.790092468E0,2.500000000E0
7.543273544E1,6.504188826E1,2.545165182E1,1.758274000E1,1.210000038E0,3.122999878E2,3.790092468E0,2.500000000E0
7.643330341E1,6.504189575E1,2.545163294E1,1.752884119E1,1.230000019E0,3.183999939E2,3.790092468E0,2.500000000E0
7.743290586E1,6.504190388E1,2.545161288E1,1.776443176E1,1.279999971E0,3.128999939E2,3.790092468E0,2.500000000E0
7.843333362E1,6.504191250E1,2.545159328E1,1.753597189E1,1.250000000E0,3.141000061E2,3.790092468E0,2.500000000E0
7.943288023E1,6.504192026E1,2.545157264E1,1.746986577E1,1.299999952E0,3.141000061E2,3.790092468E0,2.500000000E0
8.043269367E1,6.504192842E1,2.545154855E1,1.769819276E1,1.370000005E0,3.098999939E2,3.790092468E0,2.500000000E0
8.143360481E1,6.504193654E1,2.545152997E1,1.771771902E1,1.360000014E0,3.118999939E2,3.790092468E0,2.500000000E0
8.243296601E1,6.504194395E1,2.545150952E1,1.774017507E1,1.360000014E0,3.078999939E2,3.790092468E0,2.500000000E0
8.343302059E1,6.504195114E1,2.545149202E1,1.786413296E1,1.269999981E0,3.157000122E2,3.790092468E0,2.500000000E0
8.443339783E1,6.504195935E1,2.545147567E1,1.791356662E1,1.259999990E0,3.126000061E2,3.790092468E0,2.500000000E0
8.543333840E1,6.504196829E1,2.545145864E1,1.799650823E1,1.409999967E0,3.137000122E2,3.790092468E0,2.500000000E0
8.643268549E1,6.504197603E1,2.545144058E1,1.812394485E1,1.330000043E0,3.096000061E2,3.790092468E0,2.500000000E0
8.743330481E1,6.504198402E1,2.545142272E1,1.819846391E1,1.259999990E0,3.127999878E2,3.790092468E0,2.500000000E0
8.843349590E1,6.504199169E1,2.545140251E1,1.786093453E1,1.330000043E0,3.142000122E2,3.790092468E0,2.500000000E0
8.943267210E1,6.504199914E1,2.545137885E1,1.797793371E1,1.350000024E0,3.087000122E2,3.790092468E0,2.500000000E0
9.043282814E1,6.504200810E1,2.545135463E1,1.782228820E1,1.309999943E0,3.127999878E2,3.790092468E0,2.500000000E0
9.143275429E1,6.504201755E1,2.545133257E1,1.794148401E1,1.379999995E0,3.142999878E2,3.790092468E0,2.500000000E0
9.243296835E1,6.504202569E1,2.545131379E1,1.774921825E1,1.309999943E0,3.145000000E2,3.790092468E0,2.500000000E0
9.343296481E1,6.504203280E1,2.545129461E1,1.782685031E1,1.309999943E0,3.096000061E2,3.790092468E0,2.500000000E0
9.443309220E1,6.504204004E1,2.545127597E1,1.779773190E1,1.299999952E0,3.098999939E2,3.790092468E0,2.500000000E0
9.543313444E1,6.504204658E1,2.545125483E1,1.773425072E1,1.299999952E0,3.108999939E2,3.790092468E0,2.500000000E0
9.643351923E1,6.504205379E1,2.545123310E1,1.744292499E1,1.309999943E0,3.068999939E2,3.790092468E0,2.500000000E0
9.743273012E1,6.504206216E1,2.545121233E1,1.735655494E1,1.320000052E0,3.128999939E2,3.790092468E0,2.500000000E0
9.843268304E1,6.504207046E1,2.545119529E1,1.730668430E1,1.299999952E0,3.093999939E2,3.790092468E0,2.500000000E0
9.943314376E1,6.504207811E1,2.545117370E1,1.777945752E1,1.389999986E0,3.090000000E2,3.790092468E0,2.500000000E0
1.004332416E2,6.504208624E1,2.545115501E1,1.804611511E1,1.269999981E0,3.127999878E2,3.790092468E0,2.500000000E0
1.014332259E2,6.504209535E1,2.545113523E1,1.800472778E1,1.340000033E0,3.088999939E2,3.790092468E0,2.500000000E0
1.024335393E2,6.504210305E1,2.545111724E1,1.809993785E1,1.149999976E0,3.136000061E2,3.790092468E0,2.500000000E0
1.034327011E2,6.504211033E1,2.545109417E1,1.831459340E1,1.320000052E0,3.093999939E2,3.790092468E0,2.500000000E0
1.044333638E2,6.504211856E1,2.545107259E1,1.847523261E1,1.330000043E0,3.105000000E2,3.790092468E0,2.500000000E0
1.054333964E2,6.504212686E1,2.545105357E1,1.861994186E1,1.279999971E0,3.097999878E2,3.790092468E0,2.500000000E0
1.064332567E2,6.504213559E1,2.545103607E1,1.872986104E1,1.240000010E0,3.133999939E2,3.790092468E0,2.500000000E0
1.074332311E2,6.504214494E1,2.545101845E1,1.855492889E1,1.279999971E0,3.182000122E2,3.790092468E0,2.500000000E0
1.084333682E2,6.504215531E1,2.545100054E1,1.878966428E1,1.299999952E0,3.248999939E2,3.790092468E0,2.500000000E0
1.094331157E2,6.504216658E1,2.545098688E1,1.888340851E1,1.250000000E0,3.272000122E2,3.790092468E0,2.500000000E0
1.104332353E2,6.504217881E1,2.545097563E1,1.895035816E1,1.309999943E0,3.370000000E2,3.790092468E0,2.500000000E0
1.114327028E2,6.504219196E1,2.545096387E1,1.898978054E1,1.340000033E0,3.373999939E2,3.790092468E0,2.500000000E0
1.124328093E2,6.504220394E1,2.545095239E1,1.908553885E1,1.230000019E0,3.361000061E2,3.790092468E0,2.500000000E0
1.134328841E2,6.504221445E1,2.545094153E1,1.888790182E1,1.200000048E0,3.422000122E2,3.790092468E0,2.500000000E0
1.144326933E2,6.504222530E1,2.545093378E1,1.926692510E1,1.250000000E0,3.473999939E2,3.790092468E0,2.500000000E0
1.154332320E2,6.504223554E1,2.545092545E1,1.940809456E1,1.309999943E0,3.402000122E2,3.790092468E0,2.500000000E0
1.164334309E2,6.504224629E1,2.545092213E1,1.981366860E1,1.289999962E0,3.480000000E2,3.790092468E0,2.500000000E0
1.174335084E2,6.504225866E1,2.545091633E1,2.022308698E1,1.330000043E0,3.463999939E2,3.790092468E0,2.500000000E0
1.184329112E2,6.504226976E1,2.545090703E1,2.008459292E1,1.240000010E0,3.457000122E2,3.790092468E0,2.500000000E0
1.194329728E2,6.504228123E1,2.545089958E1,2.003203640E1,1.230000019E0,3.441000061E2,3.790092468E0,2.500000000E0
1.204328570E2,6.504229221E1,2.545089246E1,2.003721935E1,1.200000048E0,3.440000000E2,3.790092468E0,2.500000000E0
1.214333778E2,6.504230274E1,2.545088270E1,2.017033192E1,1.210000038E0,3.413999939E2,3.790092468E0,2.500000000E0
1.224331216E2,6.504231469E1,2.545087539E1,2.008231380E1,1.289999962E0,3.478999939E2,3.790092468E0,2.500000000E0
1.234330855E2,6.504232597E1,2.545086980E1,2.010501387E1,1.220000029E0,3.476000061E2,3.790092468E0,2.500000000E0
1.244329842E2,6.504233705E1,2.545086466E1,2.027602950E1,1.230000019E0,3.465000000E2,3.790092468E0,2.500000000E0
1.254328837E2,6.504234817E1,2.545085719E1,2.052724508E1,1.200000048E0,3.452000122E2,3.790092468E0,2.500000000E0
1.264328209E2,6.504235967E1,2.545084918E1,2.071358009E1,1.190000057E0,3.410000000E2,3.790092468E0,2.500000000E0
1.274330710E2,6.504237062E1,2.545083977E1,2.072956606E1,1.259999990E0,3.398999939E2,3.790092468E0,2.500000000E0
1.284328078E2,6.504238175E1,2.545083033E1,2.067572774E1,1.179999948E0,3.380000000E2,3.790092468E0,2.500000000E0
1.294335727E2,6.504239287E1,2.545082541E1,2.043451193E1,1.159999967E0,3.426000061E2,3.790092468E0,2.500000000E0
1.304329243E2,6.504240374E1,2.545081906E1,2.034069598E1,1.190000057E0,3.421000061E2,3.790092468E0,2.500000000E0
1.314328389E2,6.504241411E1,2.545081318E1,2.030706094E1,1.129999995E0,3.426000061E2,3.790092468E0,2.500000000E0
1.324335899E2,6.504242516E1,2.545080767E1,2.018559607E1,1.200000048E0,3.445000000E2,3.790092468E0,2.500000000E0
1.334328413E2,6.504243582E1,2.545080135E1,2.018992474E1,1.129999995E0,3.452000122E2,3.790092468E0,2.500000000E0
1.344329384E2,6.504244565E1,2.545079163E1,2.010141894E1,1.159999967E0,3.385000000E2,3.790092468E0,2.500000000E0
1.354328372E2,6.504245555E1,2.545078553E1,2.052902674E1,1.139999986E0,3.431000061E2,3.790092468E0,2.500000000E0
1.364332479E2,6.504246600E1,2.545078131E1,2.059677122E1,1.139999986E0,3.437000122E2,3.790092468E0,2.500000000E0
1.374332362E2,6.504247662E1,2.545077369E1,2.074947624E1,1.149999976E0,3.423999939E2,3.790092468E0,2.500000000E0
1.384332390E2,6.504248669E1,2.545076559E1,2.097914677E1,1.139999986E0,3.432000122E2,3.790092468E0,2.500000000E0
1.394330161E2,6.504249606E1,2.545075358E1,2.093367071E1,1.139999986E0,3.393999939E2,3.790092468E0,2.500000000E0
1.404330101E2,6.504250693E1,2.545074471E1,2.105952005E1,1.159999967E0,3.417000122E2,3.790092468E0,2.500000000E0
1.414329303E2,6.504251846E1,2.545073998E1,2.145575526E1,1.220000029E0,3.445000000E2,3.790092468E0,2.500000000E0
1.424329858E2,6.504252903E1,2.545072973E1,2.128918515E1,1.230000019E0,3.425000000E2,3.790092468E0,2.500000000E0
1.434328765E2,6.504253881E1,2.545072238E1,2.112115078E1,1.159999967E0,3.441000061E2,3.790092468E0,2.500000000E0
1.444330669E2,6.504254780E1,2.545071237E1,2.104900270E1,1.090000033E0,3.392999878E2,3.790092468E0,2.500000000E0
1.454334128E2,6.504255655E1,2.545070250E1,2.117705005E1,1.090000033E0,3.395000000E2,3.790092468E0,2.500000000E0
1.464332008E2,6.504256684E1,2.545069353E1,2.141270185E1,1.120000005E0,3.392999878E2,3.790092468E0,2.500000000E0
1.474330558E2,6.504257792E1,2.545068510E1,2.120572643E1,1.139999986E0,3.420000000E2,3.790092468E0,2.500000000E0
1.484328844E2,6.504258801E1,2.545067868E1,2.113754555E1,1.080000043E0,3.432000122E2,3.790092468E0,2.500000000E0
1.494331305E2,6.504259776E1,2.545067415E1,2.134255834E1,1.090000033E0,3.436000061E2,3.790092468E0,2.500000000E0
1.504330081E2,6.504260707E1,2.545066525E1,2.145443124E1,1.070000052E0,3.387999878E2,3.790092468E0,2.500000000E0
1.514332604E2,6.504261639E1,2.545065708E1,2.157381152E1,1.009999990E0,3.382999878E2,3.790092468E0,2.500000000E0
1.524331694E2,6.504262566E1,2.545065194E1,2.165907347E1,9.599999785E-1,3.477999878E2,3.790092468E0,2.500000000E0
1.534333308E2,6.504263510E1,2.545064575E1,2.176343925E1,1.000000000E0,3.461000061E2,3.790092468E0,2.500000000E0
1.544327609E2,6.504264404E1,2.545063723E1,2.182013655E1,1.000000000E0,3.432000122E2,3.790092468E0,2.500000000E0
1.554335444E2,6.504265249E1,2.545062978E1,2.169873356E1,9.300000072E-1,3.432999878E2,3.790092468E0,2.500000000E0
1.564328608E2,6.504266132E1,2.545062471E1,2.154003817E1,9.399999976E-1,3.497000122E2,3.790092468E0,2.500000000E0
1.574335248E2,6.504267077E1,2.545061691E1,2.156017528E1,1.080000043E0,3.420000000E2,3.790092468E0,2.500000000E0
1.584327078E2,6.504267932E1,2.545060973E1,2.165953643E1,9.900000095E-1,3.433999939E2,3.790092468E0,2.500000000E0
1.594329993E2,6.504268710E1,2.545059945E1,2.183012562E1,1.009999990E0,3.398999939E2,3.790092468E0,2.500000000E0
1.604329268E2,6.504269536E1,2.545059273E1,2.158872766E1,9.499999881E-1,3.418999939E2,3.790092468E0,2.500000000E0
1.614330754E2,6.504270382E1,2.545058895E1,2.144632893E1,9.800000191E-1,3.442999878E2,3.790092468E0,2.500000000E0
1.624334663E2,6.504271226E1,2.545058074E1,2.178909823E1,9.900000095E-1,3.378999939E2,3.790092468E0,2.500000000E0
1.634333085E2,6.504272392E1,2.545057416E1,2.229733272E1,1.220000029E0,3.450000000E2,3.790092468E0,2.500000000E0
1.644331493E2,6.504273637E1,2.545056348E1,2.260775157E1,1.059999943E0,3.425000000E2,3.790092468E0,2.500000000E0
1.654333401E2,6.504275139E1,2.545054855E1,2.247700687E1,1.549999952E0,3.390000000E2,3.790092468E0,2.500000000E0
1.664333082E2,6.504276090E1,2.545053960E1,2.249335966E1,1.070000052E0,3.398999939E2,3.790092468E0,2.500000000E0
1.674332265E2,6.504276855E1,2.545053188E1,2.286884417E1,9.800000191E-1,3.387000122E2,3.790092468E0,2.500000000E0
1.684327846E2,6.504277467E1,2.545052768E1,2.277722757E1,9.300000072E-1,3.425000000E2,3.790092468E0,2.500000000E0
1.694330597E2,6.504278110E1,2.545052165E1,2.242602815E1,1.110000014E0,3.428999939E2,3.790092468E0,2.500000000E0
1.704337070E2,6.504278732E1,2.545051577E1,2.234088108E1,1.000000000E0,3.407000122E2,3.790092468E0,2.500000000E0
1.714339864E2,6.504279427E1,2.545050731E1,2.235284040E1,1.039999962E0,3.402999878E2,3.790092468E0,2.500000000E0
1.724343047E2,6.504280159E1,2.545050066E1,2.228868891E1,1.019999981E0,3.407999878E2,3.790092468E0,2.500000000E0
1.734346778E2,6.504280927E1,2.545049339E1,2.247404893E1,1.000000000E0,3.397999878E2,3.790092468E0,2.500000000E0
1.744342500E2,6.504281759E1,2.545048727E1,2.258488489E1,1.059999943E0,3.387000122E2,3.790092468E0,2.500000000E0
1.754342364E2,6.504282581E1,2.545048049E1,2.250736633E1,1.080000043E0,3.385000000E2,3.790092468E0,2.500000000E0
1.764345671E2,6.504283516E1,2.545047454E1,2.251688354E1,1.179999948E0,3.421000061E2,3.790092468E0,2.500000000E0
1.774338615E2,6.504284362E1,2.545047004E1,2.251871081E1,1.039999962E0,3.468999939E2,3.790092468E0,2.500000000E0
1.784341129E2,6.504285250E1,2.545046523E1,2.270919755E1,1.039999962E0,3.468999939E2,3.790092468E0,2.500000000E0
1.794344716E2,6.504286047E1,2.545045720E1,2.256386891E1,1.000000000E0,3.396000061E2,3.790092468E0,2.500000000E0
1.804343635E2,6.504286908E1,2.545044980E1,2.260536869E1,9.900000095E-1,3.413999939E2,3.790092468E0,2.500000000E0
1.814345139E2,6.504287751E1,2.545044339E1,2.261299412E1,9.300000072E-1,3.411000061E2,3.790092468E0,2.500000000E0
1.824337824E2,6.504288629E1,2.545043471E1,2.267286530E1,1.009999990E0,3.376000061E2,3.790092468E0,2.500000000E0
1.834339556E2,6.504289736E1,2.545042510E1,2.292029650E1,1.309999943E0,3.391000061E2,3.790092468E0,2.500000000E0
1.844343311E2,6.504291019E1,2.545041666E1,2.287597908E1,1.379999995E0,3.405000000E2,3.790092468E0,2.500000000E0
1.854345000E2,6.504292275E1,2.545041066E1,2.244921571E1,1.340000033E0,3.442999878E2,3.790092468E0,2.500000000E0
